"date","book_id","quantity","sales"
2020-01-01,"R8A2M8",4,62.2
2020-01-01,"I2Q3O2",1,16.6
2020-01-01,"Z4M2Y4",2,7.64
2020-01-01,"C5P7C5",1,10.91
2020-01-01,"L2K1F2",4,27.16
2020-01-01,"M8E0S8",3,19.47
2020-01-01,"L6I1N6",4,23.8
2020-01-01,"F9C5V9",2,13.58
2020-01-01,"S6D2H6",4,22.64
2020-01-01,"S6D2H6",4,22.64
2020-01-01,"G8S6W8",1,5.46
2020-01-01,"X0V3L0",3,45.48
2020-01-01,"J5I7D5",2,18.9
2020-01-01,"U2D3W2",4,31.56
2020-01-01,"X9C7A9",1,7.67
2020-01-01,"V4O0T4",2,18.4
2020-01-01,"Y8M5D8",4,67.56
2020-01-01,"P0N3D0",1,7.26
2020-01-01,"Y5E7P5",1,15.79
2020-01-01,"N0F3T0",1,5.08
2020-01-01,"G3X7X3",4,21.72
2020-01-01,"Q6E3X6",4,41
2020-01-01,"Y7C1P7",1,14.52
2020-01-01,"E5A6T5",2,12.9
2020-01-01,"P2U4I2",1,5.33
2020-01-01,"C5X1V5",3,46.92
2020-01-01,"R1Q8X1",1,10.5
2020-01-01,"V6R0N6",2,24.82
2020-01-01,"G8I9X8",2,24.5
2020-01-01,"L1F6A1",2,20.22
2020-01-01,"O6N9J6",3,45.36
2020-01-01,"U8V4C8",3,27.72
2020-01-01,"I2V6O2",3,43.59
2020-01-01,"P9M3R9",3,27.69
2020-01-01,"R9I7L9",4,11
2020-01-01,"R5P3F5",4,42.88
2020-01-01,"W6Z1L6",2,19.82
2020-01-01,"X2V2U2",3,41.94
2020-01-01,"F0O6N0",4,29.64
2020-01-01,"P3Y1B3",1,13.98
2020-01-01,"O4S6V4",3,18.66
2020-01-01,"B2E8L2",3,36.06
2020-01-01,"B2E8L2",4,48.08
2020-01-01,"H4R1Q4",2,14.48
2020-01-01,"M3S3C3",2,31.78
2020-01-01,"D4E0D4",1,16.58
2020-01-01,"K6W4H6",4,41.88
2020-01-01,"N2D2H2",3,29.46
2020-01-01,"L7V3O7",2,20.82
2020-01-01,"O7X1I7",2,6.7
2020-01-01,"E1K0Z1",3,41.61
2020-01-01,"N4R0D4",4,57.24
2020-01-01,"Y5V7T5",2,20.04
2020-01-01,"D1G4Y1",1,11.25
2020-01-02,"Z4M2Y4",1,3.82
2020-01-02,"P9R3D9",3,36
2020-01-02,"G4P3S4",3,20.43
2020-01-02,"M8N4G8",3,46.98
2020-01-02,"Z4G2H4",2,19.5
2020-01-02,"S3P1G3",2,18.5
2020-01-02,"P1D0A1",3,72.81
2020-01-02,"C9M9U9",1,12.74
2020-01-02,"Q1D4R1",1,8.47
2020-01-02,"A8T3L8",3,43.62
2020-01-02,"G5O5P5",4,59.2
2020-01-02,"L2W1F2",2,20.22
2020-01-02,"Q7E0K7",4,59.24
2020-01-02,"Q0V5S0",1,9.15
2020-01-02,"P7F1S7",1,10.14
2020-01-02,"M5Q1J5",3,41.94
2020-01-02,"S0C8S0",4,23.32
2020-01-02,"P6C2R6",2,9.06
2020-01-02,"Z2G1V2",2,39.66
2020-01-02,"W3Y9R3",2,5.84
2020-01-02,"U7Q3R7",4,8.16
2020-01-02,"H5L8J5",1,4.29
2020-01-02,"S6U0Z6",1,17.31
2020-01-02,"D2I2E2",1,9.55
2020-01-02,"D2I2E2",3,28.65
2020-01-02,"G7P8Z7",3,43.74
2020-01-02,"T3A0S3",1,10.63
2020-01-02,"U0O9Y0",4,39.12
2020-01-02,"T5G8Y5",2,12.12
2020-01-02,"N0E1S0",2,40.88
2020-01-02,"S3U0I3",4,49.68
2020-01-02,"C2Z8Q2",2,35.38
2020-01-02,"Y1Y4X1",4,42.68
2020-01-02,"K6N6H6",2,20.22
2020-01-02,"O1F3Z1",2,29.64
2020-01-02,"B4U6I4",2,22.98
2020-01-02,"B0C3I0",1,15.01
2020-01-02,"X3W0N3",3,25.5
2020-01-02,"A1R7S1",2,25.68
2020-01-02,"W6Z1L6",1,9.91
2020-01-02,"E0O8N0",4,30.52
2020-01-02,"Z6P6Q6",3,12.84
2020-01-02,"X5L9U5",1,10.58
2020-01-02,"G6H3F6",1,7.42
2020-01-02,"L2X9R2",3,24.84
2020-01-02,"Q5V1P5",2,33.24
2020-01-02,"Q3E7M3",1,10.76
2020-01-02,"Z1C3E1",2,32.74
2020-01-02,"B3C6G3",4,40.52
2020-01-02,"Y9B4O9",2,13.12
2020-01-02,"Q6E4I6",2,19.34
2020-01-02,"J3N5Z3",3,35.94
2020-01-02,"J3N5Z3",2,23.96
2020-01-02,"K6W4H6",4,41.88
2020-01-02,"G6U1M6",3,18.99
2020-01-02,"C2P1O2",3,37.11
2020-01-02,"K7Z0Q7",3,29.04
2020-01-02,"U2G1Z2",2,42.88
2020-01-02,"G8M6K8",4,20.6
